subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,maxdist_full,shift_added,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,min_hits,strict_tag
1,V2,9,1,0.005,4.915134429931641,7.067573070526123,2.1524386405944824,13.230951489018036,7.747732878731323,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V2,10,1,0.005,4.632456302642822,6.435140132904053,1.8026838302612305,13.230951489018036,7.747732878731323,False,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,2,197,0.985,5.566445484297293,9.025635483712312,3.4591899994150195,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,0,169,0.845,4.875787555781844,8.889164675294964,4.013377119513119,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,7,133,0.665,3.9909242470252333,8.43885683166194,4.447932584636708,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,3,95,0.475,5.088104313817517,8.471601428656742,3.383497114839225,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,11,81,0.405,3.166142225265503,8.527103070859555,5.360960845594053,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,4,80,0.4,6.107405280492392,9.145538916070777,3.0381336355783852,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,8,78,0.39,4.487198829650879,8.967333854773106,4.480135025122227,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,1,58,0.29,4.7131452560424805,8.236639022827148,3.523493766784668,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
1,V3,5,31,0.155,6.607206110520797,9.280856670032849,2.6736505595120517,17.28915023903711,10.593066335724426,True,200,0.8,0.05,10,0.02,10,STRICT2
