subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,robust_hitrate_min,strict_tag,maxdist_full,shift_added
2,V2,10,94,0.47,5.043741073608398,6.840131421089172,1.7963903474807739,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,1,90,0.45,5.549796508706135,6.955102474793144,1.4053059660870095,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,18,87,0.435,4.602483042355241,6.603756904602051,2.0012738622468094,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,14,84,0.42,2.471191883087158,7.203381538391113,4.732189655303955,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,7,83,0.415,2.333034038543701,6.036543369293213,3.7035093307495117,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,8,83,0.415,3.9984779357910156,6.224300373031433,2.2258224372404167,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,3,75,0.375,5.201324642251391,6.7328999633089115,1.531575321057521,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,4,66,0.33,5.736070788534064,7.091131938131232,1.355061149597168,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,2,57,0.285,5.167641345844713,6.5272848938786705,1.3596435480339581,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,11,44,0.22,4.795607599345121,6.342387914657593,1.5467803153124722,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,19,40,0.2,4.384332180023193,6.030232906341553,1.6459007263183594,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
2,V2,21,30,0.15,5.06772076288859,7.0308342456817625,1.9631134827931722,False,200,0.8,0.05,10,0.012,0.8,STRICT2,11.785364628838135,7.720423066125942
